,geometry,nIDC,nBLDG,heated_area,footprint_area,idc_norm,idc_norm_foot,idc_abs
2593,"POLYGON ((2496200 1116400, 2496500 1116400, 2496500 1116700, 2496200 1116700, 2496200 1116400))",0.0,22.0,0.0,0.0,,,0.0
2594,"POLYGON ((2496200 1116700, 2496500 1116700, 2496500 1117000, 2496200 1117000, 2496200 1116700))",3.0,161.0,7631.7580182672855,4407.948592736027,0.12245129897258143,0.2135590255639374,941.3572062006352
2595,"POLYGON ((2496200 1117000, 2496500 1117000, 2496500 1117300, 2496200 1117300, 2496200 1117000))",4.0,139.0,12107.76824550242,4406.0475802157125,0.1277343566337338,0.3494513807952606,1539.6994107559976
2596,"POLYGON ((2496200 1117300, 2496500 1117300, 2496500 1117600, 2496200 1117600, 2496200 1117300))",20.0,102.0,27635.097234491503,3353.2085332351267,0.14892038392657037,1.1159181859126637,3741.9063833946066
2597,"POLYGON ((2496200 1117600, 2496500 1117600, 2496500 1117900, 2496200 1117900, 2496200 1117600))",36.0,43.0,71960.82467819947,14886.746719429286,0.1313551192332773,0.6213583674704032,9250.004638529963
2598,"POLYGON ((2496200 1117900, 2496500 1117900, 2496500 1118200, 2496200 1118200, 2496200 1117900))",12.0,24.0,33349.34163510956,2410.277238116829,0.11834055386176637,1.6374495747117432,3946.7074384917964
2599,"POLYGON ((2496200 1118200, 2496500 1118200, 2496500 1118500, 2496200 1118500, 2496200 1118200))",0.0,20.0,0.0,0.0,,,0.0
2600,"POLYGON ((2496200 1118500, 2496500 1118500, 2496500 1118800, 2496200 1118800, 2496200 1118500))",0.0,2.0,0.0,0.0,,,0.0
2601,"POLYGON ((2496200 1118800, 2496500 1118800, 2496500 1119100, 2496200 1119100, 2496200 1118800))",0.0,0.0,0.0,0.0,,,0.0
2602,"POLYGON ((2496200 1119100, 2496500 1119100, 2496500 1119400, 2496200 1119400, 2496200 1119100))",5.0,21.0,3868.084120943314,927.598062172646,0.1760438550433908,0.6850140092061298,635.417667500721
2603,"POLYGON ((2496200 1119400, 2496500 1119400, 2496500 1119700, 2496200 1119700, 2496200 1119400))",11.0,44.0,15342.53901333162,2694.222815870489,0.13042054863541816,0.6732318413790387,1813.836587413908
2604,"POLYGON ((2496200 1119700, 2496500 1119700, 2496500 1120000, 2496200 1120000, 2496200 1119700))",12.0,43.0,34751.71454402958,6180.635602653741,0.13879660020558432,0.6975509364920441,4311.308152747187
2605,"POLYGON ((2496200 1120000, 2496500 1120000, 2496500 1120300, 2496200 1120300, 2496200 1120000))",0.0,8.0,0.0,0.0,,,0.0
2606,"POLYGON ((2496200 1120300, 2496500 1120300, 2496500 1120600, 2496200 1120600, 2496200 1120300))",0.0,0.0,0.0,0.0,,,0.0
2607,"POLYGON ((2496200 1120600, 2496500 1120600, 2496500 1120900, 2496200 1120900, 2496200 1120600))",0.0,6.0,0.0,0.0,,,0.0
2608,"POLYGON ((2496200 1120900, 2496500 1120900, 2496500 1121200, 2496200 1121200, 2496200 1120900))",3.0,32.0,2485.6000000000004,2006.6967669024925,0.1569947109227323,0.17508978780757847,351.3521111111111
2609,"POLYGON ((2496200 1121200, 2496500 1121200, 2496500 1121500, 2496200 1121500, 2496200 1121200))",0.0,98.0,0.0,0.0,,,0.0
2610,"POLYGON ((2496200 1121500, 2496500 1121500, 2496500 1121800, 2496200 1121800, 2496200 1121500))",0.0,16.0,0.0,0.0,,,0.0
2654,"POLYGON ((2496500 1111300, 2496800 1111300, 2496800 1111600, 2496500 1111600, 2496500 1111300))",0.0,9.0,0.0,0.0,,,0.0
2655,"POLYGON ((2496500 1111600, 2496800 1111600, 2496800 1111900, 2496500 1111900, 2496500 1111600))",0.0,0.0,0.0,0.0,,,0.0
2656,"POLYGON ((2496500 1111900, 2496800 1111900, 2496800 1112200, 2496500 1112200, 2496500 1111900))",0.0,3.0,0.0,0.0,,,0.0
2657,"POLYGON ((2496500 1112200, 2496800 1112200, 2496800 1112500, 2496500 1112500, 2496500 1112200))",0.0,2.0,0.0,0.0,,,0.0
2658,"POLYGON ((2496500 1112500, 2496800 1112500, 2496800 1112800, 2496500 1112800, 2496500 1112500))",1.0,1.0,90.41326987333672,44.99530407167055,0.12472222222222223,0.25061601804086625,11.276543936980051
2659,"POLYGON ((2496500 1112800, 2496800 1112800, 2496800 1113100, 2496500 1113100, 2496500 1112800))",0.0,3.0,0.0,0.0,,,0.0
2660,"POLYGON ((2496500 1113100, 2496800 1113100, 2496800 1113400, 2496500 1113400, 2496500 1113100))",0.0,3.0,0.0,0.0,,,0.0
2661,"POLYGON ((2496500 1113400, 2496800 1113400, 2496800 1113700, 2496500 1113700, 2496500 1113400))",3.0,7.0,33598.2,16524.055605770052,0.1544970755120027,0.3152413340653716,5209.065333333333
2662,"POLYGON ((2496500 1113700, 2496800 1113700, 2496800 1114000, 2496500 1114000, 2496500 1113700))",1.0,15.0,5861.0,4558.80699209559,0.1638888888888889,0.2107026639739866,960.5527777777778
2663,"POLYGON ((2496500 1114000, 2496800 1114000, 2496800 1114300, 2496500 1114300, 2496500 1114000))",0.0,20.0,0.0,0.0,,,0.0
2664,"POLYGON ((2496500 1114300, 2496800 1114300, 2496800 1114600, 2496500 1114600, 2496500 1114300))",1.0,51.0,625.41,147.17898878015671,0.021666666666666667,0.09206850863910095,13.55055
2665,"POLYGON ((2496500 1114600, 2496800 1114600, 2496800 1114900, 2496500 1114900, 2496500 1114600))",0.0,13.0,0.0,0.0,,,0.0
2666,"POLYGON ((2496500 1114900, 2496800 1114900, 2496800 1115200, 2496500 1115200, 2496500 1114900))",17.0,81.0,26238.590256724627,3028.1790329372507,0.16314599981627564,1.4777154469503588,4474.786933102575
2667,"POLYGON ((2496500 1115200, 2496800 1115200, 2496800 1115500, 2496500 1115500, 2496500 1115200))",25.0,136.0,11373.399599831013,4126.3223760924375,0.15229026704990548,0.42975859090819724,1773.3224899824502
2668,"POLYGON ((2496500 1115500, 2496800 1115500, 2496800 1115800, 2496500 1115800, 2496500 1115500))",53.0,84.0,53792.85130763894,14096.702446780422,0.15110513981079057,0.5890573933041144,8303.766797484208
2669,"POLYGON ((2496500 1115800, 2496800 1115800, 2496800 1116100, 2496500 1116100, 2496500 1115800))",34.0,69.0,75276.69611164034,12864.082377624574,0.1452364104670145,0.8048556634936714,10353.729557280274
2670,"POLYGON ((2496500 1116100, 2496800 1116100, 2496800 1116400, 2496500 1116400, 2496500 1116100))",32.0,46.0,81519.92423836378,10207.442810874682,0.12168132044627053,0.9959729751156756,10166.337184669972
2671,"POLYGON ((2496500 1116400, 2496800 1116400, 2496800 1116700, 2496500 1116700, 2496500 1116400))",9.0,20.0,22707.90713957223,2217.5033084680063,0.12751285146203245,1.2587577095469102,2791.2993854798833
2672,"POLYGON ((2496500 1116700, 2496800 1116700, 2496800 1117000, 2496500 1117000, 2496500 1116700))",0.0,105.0,0.0,0.0,,,0.0
2673,"POLYGON ((2496500 1117000, 2496800 1117000, 2496800 1117300, 2496500 1117300, 2496500 1117000))",1.0,104.0,180.06,133.6914909691109,0.1502777777777778,0.20239894454403676,27.05901666666667
2674,"POLYGON ((2496500 1117300, 2496800 1117300, 2496800 1117600, 2496500 1117600, 2496500 1117300))",12.0,121.0,13132.800000000001,4941.425440514768,0.10909914055722814,0.3270931788838604,1616.3065555555556
2675,"POLYGON ((2496500 1117600, 2496800 1117600, 2496800 1117900, 2496500 1117900, 2496500 1117600))",25.0,98.0,59783.767804540184,7741.547763943751,0.3638635289171622,1.1831873186339488,9159.701140897248
2676,"POLYGON ((2496500 1117900, 2496800 1117900, 2496800 1118200, 2496500 1118200, 2496500 1117900))",28.0,53.0,43008.194738069535,13640.488241318044,0.11507956389416023,0.3680053479660444,5019.772621672983
2677,"POLYGON ((2496500 1118200, 2496800 1118200, 2496800 1118500, 2496500 1118500, 2496500 1118200))",7.0,22.0,19471.988415641237,7721.123125669188,0.06262703297947185,0.17011780294049297,1313.500502371874
2678,"POLYGON ((2496500 1118500, 2496800 1118500, 2496800 1118800, 2496500 1118800, 2496500 1118500))",0.0,0.0,0.0,0.0,,,0.0
2679,"POLYGON ((2496500 1118800, 2496800 1118800, 2496800 1119100, 2496500 1119100, 2496500 1118800))",3.0,46.0,1042.0500000000002,778.6305141933938,0.15813536167118558,0.20133474368442636,156.76537500000003
2680,"POLYGON ((2496500 1119100, 2496800 1119100, 2496800 1119400, 2496500 1119400, 2496500 1119100))",2.0,25.0,3656.38,1873.1317810742835,0.16138999969937654,0.30443524831009977,570.247338888889
2681,"POLYGON ((2496500 1119400, 2496800 1119400, 2496800 1119700, 2496500 1119700, 2496500 1119400))",5.0,37.0,37035.918251082054,3667.151083162744,0.04890597030815063,0.5255028661440289,1927.0984047852019
2682,"POLYGON ((2496500 1119700, 2496800 1119700, 2496800 1120000, 2496500 1120000, 2496500 1119700))",5.0,39.0,57814.717790983166,4193.034097622553,0.06872640803609426,0.8910321766688087,3736.128298851158
