,idc_abs,heated_area,geometry
13701,44.79947322463988,208.8070068359375,POINT (2494644.104768094 1128691.978906739)
13702,72.26057233428955,440.4185791015625,POINT (2494747.647751751 1128691.978906739)
13703,1.0575151535272598,6.746033191680908,POINT (2494851.190735409 1128691.978906739)
13718,5.6260071353912355,38.43429183959961,POINT (2496404.335490272 1128691.978906739)
13719,304.22886752319334,1870.7528076171875,POINT (2496507.87847393 1128691.978906739)
13720,154.51145970153806,726.4828491210938,POINT (2496611.421457588 1128691.978906739)
13721,18.92018586540222,97.09173583984376,POINT (2496714.964441245 1128691.978906739)
13723,21.962055973052976,98.57683563232419,POINT (2496922.05040856 1128691.978906739)
13724,5.9374175682067865,41.80981063842773,POINT (2497025.593392218 1128691.978906739)
13770,71.02206090545654,752.5573120117188,POINT (2501788.570640467 1128691.978906739)
13771,72.07841807556152,747.4371948242188,POINT (2501892.113624124 1128691.978906739)
13772,107.61782647705076,1106.905517578125,POINT (2501995.656607782 1128691.978906739)
13773,153.03217163085938,1293.21923828125,POINT (2502099.19959144 1128691.978906739)
13774,18.16959055328369,156.87924194335935,POINT (2502202.742575097 1128691.978906739)
13775,67.7521664276123,615.65625,POINT (2502306.285558755 1128691.978906739)
13776,34.09825639724731,324.19287109375,POINT (2502409.828542412 1128691.978906739)
13777,121.82454065704344,1042.367431640625,POINT (2502513.371526069 1128691.978906739)
13778,185.0772406616211,1547.1044921875,POINT (2502616.914509728 1128691.978906739)
13779,81.46923103332517,665.3294677734375,POINT (2502720.457493385 1128691.978906739)
13780,27.986639646530154,221.6067047119141,POINT (2502824.000477043 1128691.978906739)
13781,78.17845320129393,631.0419921875,POINT (2502927.5434607 1128691.978906739)
13828,53.865505409240725,467.0711364746094,POINT (2507794.063692607 1128691.978906739)
13829,45.17460817718505,408.2998046875,POINT (2507897.606676265 1128691.978906739)
13830,341.3231075439453,3028.3515625,POINT (2508001.149659921 1128691.978906739)
13831,180.26858435058594,1434.4017333984375,POINT (2508104.69264358 1128691.978906739)
13832,85.51121201324463,438.5799255371094,POINT (2508208.235627237 1128691.978906739)
13833,12.540031569480895,73.06961822509764,POINT (2508311.778610895 1128691.978906739)
13858,3.7556291906833645,22.505472183227536,POINT (2510900.353202335 1128691.978906739)
13862,21.979977918624876,127.50545501708984,POINT (2511314.525136965 1128691.978906739)
13866,25.639933094024656,202.23075866699216,POINT (2511728.697071595 1128691.978906739)
13867,109.80510200500487,597.3209228515625,POINT (2511832.240055253 1128691.978906739)
13868,144.61492738342284,811.0884399414062,POINT (2511935.78303891 1128691.978906739)
13869,152.75226428222655,843.6038818359375,POINT (2512039.326022568 1128691.978906739)
13871,31.30992748260498,157.65786743164062,POINT (2512246.411989883 1128691.978906739)
13873,102.80876084899901,515.8748779296875,POINT (2512453.497957198 1128691.978906739)
13874,229.93769802856445,1231.856201171875,POINT (2512557.040940856 1128691.978906739)
13875,231.12777906799312,1210.271484375,POINT (2512660.583924513 1128691.978906739)
13876,144.13592823791504,972.1957397460936,POINT (2512764.126908171 1128691.978906739)
13935,2.798806918621063,15.109380722045898,POINT (2492262.616143969 1128588.563486304)
13943,2.2610707812309263,11.28075122833252,POINT (2493090.960013229 1128588.563486304)
13944,1.1677855415344236,5.813620090484619,POINT (2493194.502996887 1128588.563486304)
13953,125.53949371337889,717.38623046875,POINT (2494126.389849806 1128588.563486304)
13954,140.8650595855713,806.13720703125,POINT (2494229.932833463 1128588.563486304)
13955,114.72083564758299,629.8507690429688,POINT (2494333.475817121 1128588.563486304)
13956,82.43263230895995,374.7732238769531,POINT (2494437.018800778 1128588.563486304)
13957,109.73694253540039,521.7160034179688,POINT (2494540.561784436 1128588.563486304)
13965,3.298539505958557,19.50320816040039,POINT (2495368.905653697 1128588.563486304)
13975,1.1921017863750458,7.197256565093993,POINT (2496404.335490272 1128588.563486304)
13976,27.594986705780027,168.3101806640625,POINT (2496507.87847393 1128588.563486304)
13977,98.42599070739745,520.5115966796875,POINT (2496611.421457588 1128588.563486304)
13979,18.246226978302,80.8355941772461,POINT (2496818.507424902 1128588.563486304)
13980,47.480143577575674,210.1092987060547,POINT (2496922.05040856 1128588.563486304)
13982,0.10646183706820007,0.7344291806221008,POINT (2497129.136375876 1128588.563486304)
14026,63.42666792297362,504.616455078125,POINT (2501685.027656809 1128588.563486304)
14027,371.85861541748045,2992.345703125,POINT (2501788.570640467 1128588.563486304)
14028,76.96837293243408,613.50927734375,POINT (2501892.113624124 1128588.563486304)
14029,130.66790029144286,1076.9642333984375,POINT (2501995.656607782 1128588.563486304)
14030,116.71046017456054,966.2198486328124,POINT (2502099.19959144 1128588.563486304)
14031,37.68293203353882,296.7808837890625,POINT (2502202.742575097 1128588.563486304)
14032,223.8139061431885,1930.6590576171875,POINT (2502306.285558755 1128588.563486304)
14033,107.25114392089843,1132.060791015625,POINT (2502409.828542412 1128588.563486304)
14034,105.7076258239746,874.49951171875,POINT (2502513.371526069 1128588.563486304)
14035,102.62320107269286,879.8484497070312,POINT (2502616.914509728 1128588.563486304)
14036,97.8781280670166,790.7826538085938,POINT (2502720.457493385 1128588.563486304)
14037,123.39734947967527,955.8065185546876,POINT (2502824.000477043 1128588.563486304)
14038,15.524245282173156,103.59803771972656,POINT (2502927.5434607 1128588.563486304)
14085,35.73192247390747,362.1300048828125,POINT (2507794.063692607 1128588.563486304)
14086,379.8410831298828,4053.24658203125,POINT (2507897.606676265 1128588.563486304)
14087,570.5150954589843,5248.6552734375,POINT (2508001.149659921 1128588.563486304)
14088,358.8765859375,3000.82568359375,POINT (2508104.69264358 1128588.563486304)
14089,349.0745239868164,2963.8369140625,POINT (2508208.235627237 1128588.563486304)
14090,0.09439923261106006,0.5403828024864196,POINT (2508311.778610895 1128588.563486304)
14091,0.08787364011257882,0.5050733089447021,POINT (2508415.321594553 1128588.563486304)
14114,126.51059014892576,695.0413818359375,POINT (2510796.810218677 1128588.563486304)
14115,138.02279496765135,725.2440795898436,POINT (2510900.353202335 1128588.563486304)
14116,205.78969680786125,1080.3291015625,POINT (2511003.896185992 1128588.563486304)
14117,99.77771922302244,517.34228515625,POINT (2511107.439169649 1128588.563486304)
14119,50.435793102264405,292.8458557128906,POINT (2511314.525136965 1128588.563486304)
14123,5.0686468052864075,40.290470123291016,POINT (2511728.697071595 1128588.563486304)
14124,21.920833656311036,136.8551483154297,POINT (2511832.240055253 1128588.563486304)
14125,18.06443701171875,113.18030548095705,POINT (2511935.78303891 1128588.563486304)
14128,59.65195867538453,318.9970092773437,POINT (2512246.411989883 1128588.563486304)
14129,49.95018758010863,259.6097717285156,POINT (2512349.954973541 1128588.563486304)
14130,13.34831602191925,66.24458312988281,POINT (2512453.497957198 1128588.563486304)
14131,147.86344732666015,812.8292846679686,POINT (2512557.040940856 1128588.563486304)
